"houseID","yearBuilt","lastSoldPrice","latitude","longitude","homeType","architecturalStyle","bathrooms","bedrooms","livingArea","lotSize","stories","constructionMaterials","hasAttachedGarage","hasFireplace","hasView"
1,1977,169000,45.50253296,-122.5209656,"CONDO",NA,1,2,844,NA,1,"aluminum siding",0,NA,0
2,1910,333000,45.47649384,-122.5737991,"SINGLE_FAMILY","Bungalow",1,3,1424,3920,2,"wood siding",NA,NA,0
3,2006,312000,45.51486206,-122.8660431,"TOWNHOUSE","Townhouse",3,2,1553,NA,3,"man made",1,1,0
4,2020,365450,45.49348831,-122.9056168,"TOWNHOUSE",NA,3,2,1288,1742,NA,"NA",NA,NA,0
5,1900,623000,45.35939789,-122.4463806,"SINGLE_FAMILY","Farmhouse",3,3,2399,43560,2,"cedar",0,1,0
6,1977,409900,45.53060532,-122.9978943,"SINGLE_FAMILY",NA,3,3,1884,7405,2,"wood siding",1,1,0
7,1987,585000,45.4358139,-122.8189011,"SINGLE_FAMILY","Ranch",2,3,1750,5662,1,"cement siding",1,1,1
8,2001,324500,45.49264908,-122.8445206,"TOWNHOUSE",NA,3,3,1398,NA,NA,"wood frame",NA,1,1
9,1997,360000,45.51034164,-122.9098129,"SINGLE_FAMILY","Ranch",2,3,1420,6534,1,"cement siding",1,1,0
10,1990,910000,45.40274811,-122.7268219,"SINGLE_FAMILY",NA,3,4,2778,8276,2,"cedar",1,1,1
11,1916,900000,45.52219772,-122.6205139,"SINGLE_FAMILY","Bungalow",3,3,3400,5662,3,"wood siding",1,1,0
12,1950,440000,45.34317398,-122.6117554,"SINGLE_FAMILY","Ranch",1,3,1117,7840,1,"wood siding",NA,0,0
13,2019,309025,45.48555756,-122.4106979,"CONDO","Townhouse",3,3,1435,2613,2,"cement siding",1,NA,1
14,1997,525000,45.45220184,-122.8387909,"SINGLE_FAMILY","Traditional",3,4,2325,6098,2,"cement siding",1,1,0
15,2015,510000,45.3313179,-122.5649948,"SINGLE_FAMILY",NA,3,4,2188,3484,2,"lap siding",1,1,0
16,1960,650000,45.42397308,-122.7045517,"SINGLE_FAMILY",NA,2,6,2646,11722,NA,"NA",NA,1,0
17,1953,820000,45.51962662,-122.5905533,"SINGLE_FAMILY","Contemporary",2,3,2168,4791,2,"lap siding",1,1,1
18,1982,714000,45.46331024,-122.3297272,"SINGLE_FAMILY","Contemporary",3,3,2904,251776,4,"cedar",1,1,1
19,1967,397000,45.47385788,-122.8095627,"SINGLE_FAMILY","Ranch",2,3,1501,6969,1,"t-111 siding",1,1,0
20,1960,375000,45.48075104,-122.5610886,"SINGLE_FAMILY",NA,1,3,1266,5227,1,"t-111 siding",0,1,0
21,1925,580000,45.45443344,-122.7256317,"SINGLE_FAMILY","FourSquare",2,3,2464,15681,2,"block",0,NA,0
22,1956,380000,45.51674271,-122.969986,"SINGLE_FAMILY","Ranch",2,3,1412,9147,1,"wood siding",NA,1,0
23,1989,425000,45.54123688,-122.9745712,"SINGLE_FAMILY","Traditional",2,3,1240,7405,1,"lap siding",1,NA,0
24,1955,487446,45.51020813,-122.8011932,"SINGLE_FAMILY","Ranch",2,3,1457,10018,1,"other",1,1,0
25,2004,649900,45.37442017,-122.8520889,"SINGLE_FAMILY",NA,3,5,3161,6534,2,"cement siding",1,1,0
26,2004,390000,45.5088768,-122.9736252,"SINGLE_FAMILY","Traditional",3,3,1811,2613,2,"stone",1,1,0
27,1925,703000,45.54154968,-122.6279449,"SINGLE_FAMILY","English",2,3,2577,4791,2,"other",0,1,0
28,1909,775000,45.53953934,-122.648735,"SINGLE_FAMILY",NA,1,3,2319,5000,NA,"NA",NA,1,0
29,1976,525000,45.46380997,-122.8284225,"SINGLE_FAMILY","Ranch",2,3,1837,7405,1,"wood siding",1,1,0
30,1977,407000,45.40970993,-122.773201,"SINGLE_FAMILY",NA,2,2,1226,4356,NA,"wood frame",NA,1,0
31,1963,220000,45.56241989,-122.6165543,"CONDO","Other",1,1,633,NA,NA,"NA",NA,1,0
32,2020,461595,45.4793663,-122.4025116,"SINGLE_FAMILY",NA,3,3,2061,5407,NA,"NA",NA,NA,0
33,2007,160000,45.49817276,-122.5384064,"CONDO","Townhouse",2,2,813,NA,2,"vinyl siding",NA,NA,0
34,1908,479000,45.52902985,-122.6940918,"CONDO","FourSquare",1,2,1042,NA,1,"wood siding",NA,NA,0
35,1956,665000,45.47251129,-122.687027,"SINGLE_FAMILY","Daylight Ranch",3,3,2304,6098,2,"brick",1,1,0
36,2003,360000,45.500103,-122.9050217,"TOWNHOUSE","Townhouse",3,2,1262,1742,2,"cement siding",1,1,0
37,1953,452000,45.44539261,-122.5955582,"SINGLE_FAMILY","Ranch",2,3,1484,17859,1,"brick",1,1,0
38,1975,380000,45.44689941,-122.6350327,"TOWNHOUSE","Townhouse",2,2,1751,NA,2,"cedar",1,1,1
39,1984,902000,45.53948593,-122.8134918,"SINGLE_FAMILY","Traditional",3,4,2926,11761,2,"cedar",1,1,0
40,2005,530700,45.36989975,-122.5636597,"SINGLE_FAMILY","Traditional",3,4,3282,6534,2,"lap siding",1,1,0
41,1969,551000,45.50371933,-122.5871048,"SINGLE_FAMILY","Ranch",2,3,2446,4791,2,"brick",1,1,0
42,2012,585000,45.42826843,-122.5112839,"SINGLE_FAMILY",NA,4,3,2787,5662,2,"stone",1,1,1
43,1906,567500,45.51266098,-122.624855,"SINGLE_FAMILY","FourSquare",2,3,1896,4356,2,"cement siding",0,NA,0
44,1916,575000,45.56765366,-122.6399689,"SINGLE_FAMILY","Bungalow",2,3,2037,4791,3,"cedar",NA,1,0
45,1962,425000,45.52466202,-122.4727859,"SINGLE_FAMILY","Ranch",2,4,1500,6969,1,"cedar",1,NA,0
46,1950,427000,45.42325211,-122.6860962,"SINGLE_FAMILY","Ranch",1,2,1650,15245,1,"wood siding",0,1,1
